               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.029714,            0.013411,           0.0077601,             0.89659,             0.90591,             0.92926,             0.63228,            0.030511,           0.0091731,            0.010417,            0.007624,            0.007624,            0.007624
                 146,            0.030079,            0.013342,           0.0075515,             0.90954,             0.90544,             0.92633,             0.63265,            0.030238,           0.0091387,           0.0095129,           0.0076075,           0.0076075,           0.0076075
                 147,            0.030051,            0.013598,           0.0076994,             0.91743,             0.89944,             0.93343,             0.62483,            0.030727,           0.0092669,           0.0098203,            0.007591,            0.007591,            0.007591
                 148,            0.029956,            0.013858,           0.0076468,              0.8993,             0.90203,             0.91843,             0.62616,            0.030415,            0.009319,           0.0099369,           0.0075745,           0.0075745,           0.0075745
                 149,            0.029835,            0.013273,            0.007659,             0.90389,             0.90101,              0.9273,             0.62757,             0.03051,           0.0092824,           0.0092635,            0.007558,            0.007558,            0.007558
                 150,            0.029871,              0.0134,            0.008149,              0.9113,             0.90404,             0.91843,             0.62518,            0.030489,           0.0091674,            0.010031,           0.0075415,           0.0075415,           0.0075415
                 151,            0.030155,            0.013487,           0.0076014,             0.90078,             0.89539,              0.9135,             0.62398,            0.030824,           0.0091642,            0.009618,            0.007525,            0.007525,            0.007525
                 152,            0.029776,            0.013332,           0.0079209,             0.92803,             0.90074,             0.93055,             0.63792,            0.030414,           0.0092459,           0.0091079,           0.0075085,           0.0075085,           0.0075085
                 153,            0.029785,            0.013555,           0.0070348,             0.90669,             0.91616,             0.92599,              0.6275,            0.030586,           0.0092888,           0.0093791,            0.007492,            0.007492,            0.007492
                 154,            0.029541,            0.013556,           0.0075367,             0.91543,             0.88645,             0.91896,             0.62418,            0.030785,            0.009208,           0.0096932,           0.0074755,           0.0074755,           0.0074755
